Name   tor.angle pol.angle R      z      shift	dtheta	dphi	R/Ohm	Aeff/m^2
===============================================================================
C09-17	4.7123889 3.3751177 0.9802 -0.1593 0.0 -1.56024 0.0000 64.1 0.3634
C09-18	4.7123889 3.5838591 0.9835 -0.3156 0.0 -1.53791 0.0000 61.8 0.3634
C09-20	4.7123889 3.9615483 1.0005 -0.6960 0.0 -1.49775 0.0000 89.3 0.3634
C09-21	4.7123889 4.0910518 1.0193 -0.8807 0.0 -1.31642 0.0000 56.9 0.3634
C09-22	4.7123889 4.2198571 1.0904 -1.0455 0.0 -0.979586 0.0000 55.4 0.3634
C09-23	4.7123889 4.4020694 1.2588 -1.2174 0.0 -0.562391 0.0000 53.2 0.3634
C09-24	4.7123889 4.5806166 1.4787 -1.2925 0.0 -0.122811 0.0000 51.4 0.3634
C09-25	4.7123889 4.7507862 1.6998 -1.2740 0.0 0.261514 0.0000 49.6 0.3634
C09-26	4.7123889 4.8747046 1.8476 -1.2045 0.0 0.546260 0.0000 49.4 0.3634
C09-27	4.7123889 5.0518555 2.0271 -1.0672 0.0 0.735985 0.0000 47.7 0.3634
C09-28	4.7123889 5.2850315 2.2111 -0.8704 0.0 0.913256 0.0000 46.2 0.3634
C09-29	4.7123889 5.5389769 2.3537 -0.6446 0.0 1.08978 0.0000 48.4 0.3634
C09-30	4.7123889 5.7510344 2.4316 -0.4597 0.0 1.23523 0.0000 52.1 0.3634
C09-31	4.7123889 5.9273127 2.4747 -0.3054 0.0 1.35465 0.0000 53.7 0.3634
C09-32	4.7123889 6.1103977 2.5002 -0.1473 0.0 1.49084 0.0000 54.8 0.3634
C10-01	5.4977871 0.0963422 2.5054 0.0826 0.0 1.65075 0.0000 61.5 0.3634
C10-20	5.4977871 3.0056315 0.9795 0.0917 0.0 -1.58139 0.0000 85.7 0.3634
C10-21	5.4977871 3.2775536 0.9795 -0.0917 0.0 -1.56024 0.0000 85.7 0.3634
C12-01	4.7123889 0.7415904 2.3537 0.6446 0.0 0.0000 0.0000 1.0000 0.078996
C12-02	4.7123889 1.2311553 2.0271 1.0672 0.0 0.0000 0.0000 1.0000 0.078996
C12-03	4.7123889 5.0518555 2.0271 -1.0672 0.0 0.0000 0.0000 1.0000 0.078996
C12-04	4.7123889 5.5389769 2.3537 -0.6446 0.0 0.0000 0.0000 1.0000 0.078996
C12-05	4.7123889 0.7415904 2.3537 0.6446 0.0 0.0000 0.0000 1.0000 0.078996
C12-06	4.7123889 1.2311553 2.0271 1.0672 0.0 0.0000 0.0000 1.0000 0.078996
C12-07	4.7123889 5.0518555 2.0271 -1.0672 0.0 0.0000 0.0000 1.0000 0.078996
C12-08	4.7123889 5.5389769 2.3537 -0.6446 0.0 0.0000 0.0000 1.0000 0.078996
BAL01	4.9087385 0.0000000 2.3860 0.0450 0.0  0.0000 0.0000 1.0000 0.119026
BAL02	4.9087385 0.0000000 2.3860 0.1400 0.0 0.0000 0.0000 1.0000 0.119026
BAL03	4.9087385 0.0000000 2.3860 -0.1400 0.0 0.0000 0.0000 1.0000 0.119026
