  3.0105   2194.97     -5.67
  3.0106   2194.97     -5.67
  3.0106   2194.97     -5.57
  3.0107   2194.98     -5.67
  3.0108   2194.98     -5.77
  3.0108   2194.98     -5.87
  3.0109   2194.98     -5.87
  3.0110   2194.98     -5.87
  3.0110   2194.98     -5.87
  3.0111   2194.99     -5.87
  3.0111   2194.99     -5.87
  3.0112   2194.99     -5.77
  3.0113   2194.99     -5.77
  3.0113   2195.00     -5.77
  3.0114   2195.00     -5.77
  3.0114   2195.00     -5.77
  3.0115   2195.01     -5.77
  3.0115   2195.01     -5.87
  3.0116   2195.01     -5.87
  3.0117   2195.01     -5.77
  3.0117   2195.01     -5.77
  3.0118   2195.01     -5.77
  3.0119   2195.02     -5.77
  3.0119   2195.02     -5.67
  3.0120   2195.02     -5.67
  3.0120   2195.02     -5.57
  3.0121   2195.02     -5.67
  3.0122   2195.02     -5.67
  3.0122   2195.02     -5.67
  3.0123   2195.02     -5.67
  3.0123   2195.02     -5.47
  3.0124   2195.03     -5.47
  3.0124   2195.03     -5.57
  3.0125   2195.03     -5.67
  3.0126   2195.03     -5.77
  3.0126   2195.03     -5.77
  3.0127   2195.03     -5.57
  3.0127   2195.03     -5.67
  3.0128   2195.03     -5.77
  3.0129   2195.03     -5.77
  3.0129   2195.03     -5.77
  3.0130   2195.05     -5.67
  3.0131   2195.06     -5.67
  3.0131   2195.06     -5.67
  3.0132   2195.07     -5.57
  3.0132   2195.07     -5.47
  3.0133   2195.07     -5.57
  3.0134   2195.07     -5.57
  3.0134   2195.07     -5.77
  3.0135   2195.08     -5.77
  3.0135   2195.08     -5.77
  3.0136   2195.07     -5.67
  3.0136   2195.07     -5.67
  3.0137   2195.07     -5.57
  3.0138   2195.07     -5.47
  3.0138   2195.07     -5.47
  3.0139   2195.07     -5.47
  3.0140   2195.08     -5.57
  3.0140   2195.08     -5.57
  3.0141   2195.08     -5.47
  3.0141   2195.08     -5.47
  3.0142   2195.07     -5.47
  3.0143   2195.07     -5.47
  3.0143   2195.08     -5.57
  3.0144   2195.08     -5.67
  3.0144   2195.08     -5.67
  3.0145   2195.07     -5.67
  3.0145   2195.07     -5.77
  3.0146   2195.08     -5.77
  3.0147   2195.07     -5.77
  3.0147   2195.07     -5.67
  3.0148   2195.06     -5.67
  3.0148   2195.06     -5.67
  3.0149   2195.06     -5.67
  3.0150   2195.06     -5.67
  3.0150   2195.06     -5.67
  3.0151   2195.06     -5.67
  3.0152   2195.04     -5.67
  3.0152   2195.04     -5.77
  3.0153   2195.04     -5.77
  3.0153   2195.04     -5.77
  3.0154   2195.03     -5.77
  3.0155   2195.03     -5.67
  3.0155   2195.03     -5.47
  3.0156   2195.02     -5.47
  3.0156   2195.02     -5.57
  3.0157   2195.02     -5.57
