  3.0991   2158.92     13.37  5.32e+18     17.46     -4.58    -27.42    339.99  1.14e+01
  3.1008   2155.35     10.58  6.87e+18     18.49     -4.58    -31.51    402.39  1.16e+01
  3.1024   2152.89     11.64  7.29e+18     18.49     -7.52    -35.07    430.62  1.36e+01
  3.1041   2147.73     18.90  8.97e+18     15.41    -11.72    -55.05    470.20  2.72e+01
  3.1057   2143.67     17.85  1.18e+19     12.08    -12.55    -70.59    503.42  3.39e+01
  3.1074   2140.84     18.34  1.45e+19     12.47    -11.52    -87.67    503.42  4.26e+01
  3.1090   2138.13     22.96  1.85e+19     11.45    -10.69   -124.80    503.42  6.79e+01
  3.1107   2135.18     24.83  2.31e+19      4.36    -18.51   -162.74    503.42  9.21e+01
  3.1123   2132.11     29.71  2.26e+19     -1.50    -24.57   -173.56    503.42  1.07e+02
  3.1140   2135.06     31.48  2.25e+19     -3.75    -28.58   -178.18    503.42  1.14e+02
  3.1156   2134.69     29.81  2.25e+19     -3.56    -28.58   -173.69    503.42  1.08e+02
  3.1173   2135.30     27.38  2.18e+19      1.48    -23.64   -161.03    503.42  9.57e+01
  3.1189   2136.17     25.74  2.17e+19      6.41    -17.54   -155.30    503.42  8.95e+01
  3.1206   2138.63     22.51  1.92e+19      8.47    -13.58   -128.48    503.42  6.92e+01
  3.1222   2140.35     20.56  1.72e+19     12.23    -12.79   -109.78    503.42  5.65e+01
  3.1239   2142.32     17.97  1.41e+19     12.47    -13.58    -84.53    503.42  4.07e+01
  3.1256   2143.55     18.39  1.26e+19     12.47    -14.55    -76.16    503.42  3.71e+01
  3.1272   2145.51     17.87  1.10e+19     11.50    -16.56    -65.63    503.42  3.15e+01
  3.1289   2131.00     18.66  1.03e+19     14.48    -16.56    -62.93    503.42  3.09e+01
  3.1305   2149.82     19.71  9.04e+18     17.17    -10.69    -56.65    476.06  2.86e+01
  3.1322   2152.28     14.48  8.89e+18     17.36     -7.56    -47.72    442.14  2.06e+01
  3.1338   2153.14     12.36  7.21e+18     16.48     -5.71    -35.78    408.11  1.43e+01
  3.1355   2154.99     14.04  6.61e+18     17.46     -5.80    -34.95    346.13  1.49e+01
  3.1371   2156.46     11.90  5.66e+18     15.41     -6.59    -27.53    260.36  1.08e+01
  3.1388   2157.69     11.79  4.80e+18     16.48     -6.54    -23.26    282.92  9.07e+00
  3.1404   2159.91      9.61  4.65e+18     16.48     -4.58    -20.32    346.05  7.15e+00
  3.1421   2161.75      7.34  4.84e+18     15.36     -4.58    -18.50    336.67  5.69e+00
  3.1437   2162.98     10.37  4.42e+18     13.40     -6.78    -20.06    287.37  7.34e+00
  3.1454   2164.46     10.89  3.87e+18     13.45     -6.83    -18.04    231.43  6.76e+00
  3.1470   2166.42      7.86  3.65e+18     16.34     -6.59    -14.43    219.14  4.59e+00
  3.1487   2167.41     11.07  3.82e+18     13.31     -8.64    -17.95    180.62  6.78e+00
  3.1503   2168.88     15.19  3.83e+18      8.08     -9.52    -21.04    142.21  9.31e+00
  3.1520   2170.24     10.48  2.98e+18     12.43     -6.73    -13.61    137.28  5.00e+00
  3.1536   2171.71      7.98  2.34e+18     11.25     -6.68     -9.32    140.62  2.99e+00
  3.1553   2173.44      9.80  2.03e+18     11.11     -7.61     -8.98     90.84  3.19e+00
  3.1569   2175.53      7.88  2.01e+18     13.45     -5.71     -7.95     99.46  2.53e+00
  3.1586   2177.00      7.86  2.34e+18     12.43     -5.71     -9.25    135.33  2.94e+00
  3.1602   2178.36      6.76  1.98e+18     11.50     -5.85     -7.26     79.00  2.14e+00
  3.1619   2180.20      6.52  2.20e+18      9.44     -6.59     -7.94    101.43  2.30e+00
  3.1635   2182.05      9.47  1.95e+18      9.44     -6.54     -8.48     84.49  2.96e+00
  3.1652   2183.89      9.36  1.83e+18      8.22     -6.54     -7.92     58.60  2.75e+00
  3.1669   2185.37      7.35  1.98e+18      9.15     -5.56     -7.59     79.48  2.34e+00
  3.1685   2187.33      8.00  1.26e+18      9.15     -6.64     -5.01     66.31  1.61e+00
  3.1702   2188.69     10.04  7.49e+17     11.35     -6.54     -3.35     36.46  1.20e+00
  3.1718   2190.29     12.06  5.94e+17      9.40     -8.59     -2.91     25.19  1.15e+00
  3.1735   2192.01      7.34  6.68e+17      8.32     -7.56     -2.55     25.32  7.85e-01
  3.1751   2194.22      5.97  5.99e+17      7.39     -6.54     -2.07     28.88  5.73e-01
  3.1768   2195.21      6.68  5.46e+17     12.33     -6.54     -1.99     32.00  5.84e-01
  3.1784   2196.68      7.96  6.51e+17      7.39     -6.54     -2.59     21.60  8.30e-01
  3.1801   2199.14      8.48  8.06e+17      8.37     -6.59     -3.31     21.16  1.09e+00
  3.1817   2200.86      4.93  8.35e+17      9.35     -6.59     -2.61     29.42  6.59e-01
  3.1834   2202.83      6.94  7.36e+17      7.49     -6.64     -2.74     30.88  8.19e-01
  3.1850   2204.31     10.28  6.10e+17      8.32     -6.64     -2.76     17.33  1.01e+00
  3.1867   2206.28      8.83  6.30e+17      7.29     -7.52     -2.64     20.97  8.90e-01
  3.1883   2208.00      6.89  6.17e+17      5.49     -7.52     -2.28     20.60  6.81e-01
  3.1900   2210.34      7.31  4.58e+17      4.31     -7.52     -1.75     10.78  5.36e-01
  3.1916   2212.06      7.67  3.97e+17      4.21     -7.56     -1.55      8.08  4.88e-01
  3.1933   2213.78      8.72  2.90e+17      3.48     -8.54     -1.21      5.68  4.06e-01
  3.1949   2215.01      6.52  3.05e+17      4.41     -7.56     -1.10     10.14  3.19e-01
  3.1966   2217.35     10.10  2.07e+17      5.49     -7.56     -0.93      8.05  3.35e-01
  3.1982   2218.82      9.12  1.92e+17      3.43     -7.66     -0.82      3.75  2.81e-01
  3.1999   2220.30      4.98  2.29e+17      2.11     -6.64     -0.72      2.85  1.83e-01
  3.2015   2221.41      5.00  2.40e+17      2.41     -6.64     -0.76      2.50  1.92e-01
  3.2032   2222.51      3.26  2.40e+17      4.12     -4.58     -0.61      3.29  1.25e-01
  3.2048   2222.14      4.59  1.78e+17      4.12     -3.75     -0.54      2.94  1.31e-01
  3.2065   2223.00     11.68  1.29e+17      4.46     -7.76     -0.62      2.02  2.42e-01
  3.2081   2223.50      8.75  1.64e+17      3.38     -6.59     -0.68      1.78  2.30e-01
  3.2098   2223.74     11.00  2.06e+17      3.38     -5.76     -0.97      1.69  3.63e-01
  3.2115   2223.00     14.43  1.46e+17      3.38     -5.76     -0.78      1.23  3.37e-01
  3.2131   2223.62      9.45  8.45e+16      7.44     -7.56     -0.37      2.60  1.28e-01
  3.2148   2222.51     14.12  1.18e+17      8.42     -6.54     -0.62      6.09  2.66e-01
  3.2164   2223.13     20.19  1.33e+17      3.48     -9.62     -0.84      5.23  4.30e-01
  3.2181   2222.51     12.44  1.45e+17      3.29     -7.52     -0.72      2.69  2.89e-01
  3.2197   2222.14     10.72  1.38e+17      3.29     -7.52     -0.64      2.69  2.36e-01
  3.2214   2221.77     11.78  1.34e+17      3.29     -6.64     -0.65      3.37  2.52e-01
  3.2230   2221.04      8.01  2.20e+17      6.41     -6.68     -0.88      4.98  2.83e-01
  3.2247   2221.41      9.58  2.38e+17      5.44     -6.68     -1.04      5.80  3.65e-01
  3.2263   2220.67      9.18  1.97e+17      4.46     -5.61     -0.84      4.11  2.90e-01
